Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,49,4628,3326,1956,344,1012,11,290,1489,0,0
C:\Users\Andrew\Projects\Personal\ForgottenWar\forgotten-war,49,4628,3326,1956,344,1012,11,290,1489,0,0
C:\Users\Andrew\Projects\Personal\ForgottenWar\forgotten-war\CommonCore,36,2702,1907,1088,168,586,1,209,993,0,0
C:\Users\Andrew\Projects\Personal\ForgottenWar\forgotten-war\CommonCore\inc,20,1094,693,391,20,225,1,176,809,0,0
C:\Users\Andrew\Projects\Personal\ForgottenWar\forgotten-war\CommonCore\inc\Common,1,67,50,26,0,17,0,0,0,0,0
C:\Users\Andrew\Projects\Personal\ForgottenWar\forgotten-war\CommonCore\inc\Libraries,2,205,157,93,19,48,0,0,0,0,0
C:\Users\Andrew\Projects\Personal\ForgottenWar\forgotten-war\CommonCore\inc\Logging,6,259,201,116,0,58,1,0,12,0,0
C:\Users\Andrew\Projects\Personal\ForgottenWar\forgotten-war\CommonCore\inc\N2f,4,283,73,41,0,43,0,167,761,0,0
C:\Users\Andrew\Projects\Personal\ForgottenWar\forgotten-war\CommonCore\inc\N2f\BaseClasses,2,181,44,27,0,27,0,110,519,0,0
C:\Users\Andrew\Projects\Personal\ForgottenWar\forgotten-war\CommonCore\inc\N2f\Helpers,1,93,25,14,0,13,0,55,239,0,0
C:\Users\Andrew\Projects\Personal\ForgottenWar\forgotten-war\CommonCore\inc\Threading,5,161,123,70,0,38,0,0,0,0,0
C:\Users\Andrew\Projects\Personal\ForgottenWar\forgotten-war\CommonCore\src,16,1608,1214,697,148,361,0,33,184,0,0
C:\Users\Andrew\Projects\Personal\ForgottenWar\forgotten-war\CommonCore\src\Libraries,1,10,8,3,0,2,0,0,0,0,0
C:\Users\Andrew\Projects\Personal\ForgottenWar\forgotten-war\CommonCore\src\Logging,6,854,629,388,62,201,0,24,94,0,0
C:\Users\Andrew\Projects\Personal\ForgottenWar\forgotten-war\CommonCore\src\N2f,3,205,164,80,29,39,0,2,30,0,0
C:\Users\Andrew\Projects\Personal\ForgottenWar\forgotten-war\CommonCore\src\N2f\BaseClasses,2,108,84,40,12,22,0,2,30,0,0
C:\Users\Andrew\Projects\Personal\ForgottenWar\forgotten-war\CommonCore\src\N2f\Helpers,1,97,80,40,17,17,0,0,0,0,0
C:\Users\Andrew\Projects\Personal\ForgottenWar\forgotten-war\CommonCore\src\Threading,5,439,337,183,44,95,0,7,60,0,0
C:\Users\Andrew\Projects\Personal\ForgottenWar\forgotten-war\GameCore,4,539,401,239,61,112,0,26,121,0,0
C:\Users\Andrew\Projects\Personal\ForgottenWar\forgotten-war\GameCore\inc,2,102,67,41,0,19,0,16,100,0,0
C:\Users\Andrew\Projects\Personal\ForgottenWar\forgotten-war\GameCore\src,2,437,334,198,61,93,0,10,21,0,0
C:\Users\Andrew\Projects\Personal\ForgottenWar\forgotten-war\ServerCore,4,444,335,216,38,106,0,3,7,0,0
C:\Users\Andrew\Projects\Personal\ForgottenWar\forgotten-war\ServerCore\inc,3,91,72,45,0,16,0,3,7,0,0
C:\Users\Andrew\Projects\Personal\ForgottenWar\forgotten-war\ServerCore\inc\Server,2,85,69,45,0,14,0,2,4,0,0
C:\Users\Andrew\Projects\Personal\ForgottenWar\forgotten-war\ServerCore\src,1,353,263,171,38,90,0,0,0,0,0
C:\Users\Andrew\Projects\Personal\ForgottenWar\forgotten-war\ServerCore\src\Server,1,353,263,171,38,90,0,0,0,0,0
C:\Users\Andrew\Projects\Personal\ForgottenWar\forgotten-war\source,5,943,683,413,77,208,10,52,368,0,0
C:\Users\Andrew\Projects\Personal\ForgottenWar\forgotten-war\source\include,2,111,66,44,0,24,0,21,130,0,0
C:\Users\Andrew\Projects\Personal\ForgottenWar\forgotten-war\source\src,3,832,617,369,77,184,10,31,238,0,0
